08107AA0  AbradeEquipments
0810C3E0  RemoveAllPlayerEvent
08114F80  RemoveItemByIndex
08105700  RemoveNpcSkillState
080FB800  RemoveOpenCardUiItem
0810C440  RemovePlayerEvent
08110140  RemoveSkillState
0810A9C0  RenameRole
0810A010  RenameTong
08116460  Repair_Open
0812EB20  ReplaceString
0811B0E0  RestoreCamp
08112480  RestoreLife
08112430  RestoreMana
081035C0  RestoreNpcFeature
0810CB20  RestoreOwnFeature
081123E0  RestoreStamina
08100B60  ResumeTimer
08126E10  ReturnDungenonMap
081178C0  ReturnFromPortal
08114790  RevID2WXY
08107130  RevivalAllNpc
0812E080  RightFillString
081C16D0  RollItem
0811C640  RollbackSkill
08132380  RunGlbMission
08132E50  RunMission
08177050  STAT_CleanGoodsSaleNum
08176B10  STAT_GetGoodsCount
08176D50  STAT_GetGoodsName
081770C0  STAT_GetGoodsSaleNum
08176B40  STAT_SearchGoodsSaledItem
081C1490  ST_CheckLockState
081C2AD0  ST_CheckTextFilter
081C2990  ST_DoTransLife
081C1330  ST_GetDamageCounter
081C29F0  ST_GetOffliveState
081C1100  ST_GetTransLifeCount
081C1380  ST_IncreaseDamageCounter
081C1160  ST_IsTransLife
081C2A60  ST_LevelUp
081C1240  ST_SetPlayerGameTime
081C2900  ST_SetTransLifeCount
081C12F0  ST_StartDamageCounter
081C12B0  ST_StopDamageCounter
081C1930  ST_SyncMiniMapObj
081C11C0  ST_UseCurCampTeam
08122D00  Sale
08115140  SaveMaskFeature
08111ED0  SaveNow
08111F00  SaveQuickly
08105960  SaveSDB2Relay
08123C90  Say
081020A0  SearchPlayer
08102120  SearchPlayerByNameID
08174530  SelectTaskAward
081745E0  SelectTaskFinish
08174690  SelectTaskStart
0810B220  SendScriptData
081C24E0  SendSpreaderCDKey
08117100  SendTaskOrder
08114B90  Set120SkillID
08121580  SetAForbitSkill
0812B6D0  SetArenaCredits
080FE110  SetAutoHangFreeFlag
08126690  SetAutoHangMapFlag
080FEAC0  SetBit
08108F10  SetBitTask
080FE950  SetByte
0811B2E0  SetCamp
08111460  SetChatFlag
08113B20  SetColdR
081BFED0  SetCouldDisbandTong
081BFF20  SetCouldKickTong
081BFF70  SetCouldQuitTong
08120FC0  SetCreateTeam
08113E80  SetCumulateOffer
0811B1D0  SetCurCamp
0810F090  SetCurDurability
08110680  SetDeathPunish_PK10
08110600  SetDeathReliveFlag
08110700  SetDeathScript
08110580  SetDeathType
080FD140  SetDebugOut
08101F40  SetDelDupedAllInOne
0814E880  SetDelayCatchTime
08126790  SetDisabledFuncFlag
08102000  SetDupedDealLevel
08107B30  SetEnergy
080FCC20  SetEquipWishValue
0811A540  SetFaction
08117A10  SetFightState
08112F40  SetFireR
0810A610  SetFusionIsSmelted
0810A530  SetFusionMagicSeed
080FD740  SetGlbMissionV
080FE2F0  SetGlbValue
08108760  SetGlobalTradeFlag
0810AD80  SetHide
0810DFA0  SetHighLightPos
08114C70  SetImmedSkill
08118C40  SetIsCheckNpcBarrier
08127630  SetItemBindState
08101B20  SetItemExchangeValue
08101A30  SetItemFortuneValue
080FD020  SetItemMagicLevel
080FDBC0  SetItemNewFeature
0810D9A0  SetItemStackCount
08121180  SetJoinTongTime
080FCB50  SetLastBreakTime
0810E4B0  SetLastFactionNumber
0810B7E0  SetLastLogoutTime
0810B8E0  SetLastOfflineTime
08112C90  SetLightR
08110500  SetLogoutRV
08111B00  SetLucky
081217E0  SetMangonelParam
080FE480  SetMapParam
080FE630  SetMapType
0810F1F0  SetMaxDurability
08108CD0  SetMaxResist
08107220  SetMissionS
08107390  SetMissionV
080FDB70  SetMissleStep
081216C0  SetMoveSpeed
08103F40  SetNpcAI
08104110  SetNpcActiveRegion
081057B0  SetNpcAuraSkill
0811B120  SetNpcCurCamp
080FC060  SetNpcCurLife
08101500  SetNpcDeathScript
081C0AE0  SetNpcExpRate
08117940  SetNpcFightState
08103DA0  SetNpcKind
081C0260  SetNpcParam
0811B830  SetNpcPos
08101500  SetNpcScript
080FC180  SetNpcTimer
08109230  SetOnlineCommissionStatus
08110420  SetPK
0810F610  SetPKFlag
0812AFA0  SetPMParam
0811A7B0  SetPartnerBagLevel
08112750  SetPhyR
08109570  SetPkReduceState
080FC710  SetPlatinaMagicIndex
081112F0  SetPlayerEnteringTrap
0810B5D0  SetPlayerFlag
0810ABA0  SetPlayerFortuneRank
08111250  SetPlayerLog
0810AEC0  SetPoisonCount
081129F0  SetPoisonR
0811B940  SetPos
0810AEC0  SetPotionCount
080FC4D0  SetProgressBarEvent
081069B0  SetPropState
0810E3E0  SetProtectTime
0810F470  SetPunish
0811DC00  SetRandSeed
081109E0  SetRank
0814EB00  SetRefuseLogin
08110FC0  SetRelaxTime
081080B0  SetRespect
0811B370  SetRevPos
0811A0C0  SetSeries
08116560  SetSex
081218E0  SetSiegeVoitureParam
0814E900  SetSignCodeSyncTime
0812C430  SetSkillLevel
08108B70  SetSkillMaxLevelAddons
080FF360  SetSpecItemParam
080FF480  SetStatData
080FC880  SetStoneLevelOnEquip
081165F0  SetStringTask
08102F80  SetSwitch
08116780  SetTask
08174B70  SetTaskStatus
08123950  SetTaskTemp
08110790  SetTempRevPos
08122A30  SetTimer
08111040  SetTireTime
0810BA50  SetTmpCamp
081749F0  SetTmpValue
08128A20  SetTongMTask
08113CD0  SetTongWeek
08114030  SetTotalOffer
0810AF50  SetUiGiveItemMoreConfirmMsg
0810B020  SetUiGiveItemMsg
0811A650  SetWeekGoalOffer
081141E0  SetWeeklyOffer
0812B7C0  SetWorldName
081101D0  ShowLadder
0810A8D0  SmeltEquip
08116D50  SmeltItem
08108980  StackExp
0810A430  StarLevelUp
0814EBD0  StartBotDeleteAccount
0814EC30  StartBotPunish
08138340  StartGlbMSTimer
08138840  StartMissionTimer
0810B1E0  StartPoisonCounter
0810B1E0  StartPotionCounter
081748E0  StartTask
08133D80  StopGlbMSTimer
08134720  StopMissionTimer
08118DD0  StopNpcAction
0810AE30  StopPoisonCounter
0810AE30  StopPotionCounter
08122A00  StopTimer
08104BD0  String2Id
08102580  SubWorldID2Idx
081077D0  SubWorldIdx2ID
08107740  SubWorldIdx2MapCopy
08174390  SubWorldName
08100C00  SuspendTimer
0812C860  SwearBrother
08104C80  SyncBiaoCheDeathInfoToRelay
081160A0  SyncCitySummary
0811EA80  SyncClothesItemPreView
08118C10  SyncIsCheckNpcBarrier
08114EF0  SyncItem
08103ED0  SyncNpc
0810E350  SyncTaskValue
0810E240  SyncTaskValueMore
0811AD90  SyncWorkshopList
081C21A0  TM_GetRestCount
081C2260  TM_GetRestTime
081C2130  TM_GetTimerCount
081C1E30  TM_HasTimer
081C1EF0  TM_IsTimerSuspending
081C1FB0  TM_ResumeTimer
081C23C0  TM_SetTimer
081C2330  TM_StopTimer
081C2070  TM_SuspendTimer
08198720  TONGM_ApplyAddOffer
081909D0  TONGM_ApplyAddOfferEx
08198600  TONGM_ApplyAddRight
081989A0  TONGM_ApplyAddTaskValue
081988A0  TONGM_ApplyAddUTaskValue
081984E0  TONGM_ApplyDelRight
08199740  TONGM_ApplySetLWeekGoalOffer
08199B20  TONGM_ApplySetLWeeklyOffer
08199360  TONGM_ApplySetLastOnlineDate
08198F80  TONGM_ApplySetRetireDate
08198AA0  TONGM_ApplySetTaskValue
081983B0  TONGM_CheckRight
08199EC0  TONGM_GetFigure
0819A520  TONGM_GetJoinDay
0819A660  TONGM_GetJoinTime
081998C0  TONGM_GetLWeekGoalOffer
08199CA0  TONGM_GetLWeeklyOffer
081994E0  TONGM_GetLastOnlineDate
0819A3E0  TONGM_GetMoney
08198D60  TONGM_GetName
08198800  TONGM_GetOffer
08199DB0  TONGM_GetOnline
08199100  TONGM_GetRetireDate
0819A000  TONGM_GetSex
08198C80  TONGM_GetTaskValue
08198BA0  TONGM_GetUTaskValue
08198350  TONGM_IsExist
0818B280  TONG_AddTaskTemp
08194650  TONG_ApplyAddBuildFund
081959D0  TONG_ApplyAddDay
0818BFE0  TONG_ApplyAddEventRecord
0818C090  TONG_ApplyAddHistoryRecord
08195010  TONG_ApplyAddLWeekGoalValue
0818BE50  TONG_ApplyAddMoney
08193150  TONG_ApplyAddPerStandFund
08195A90  TONG_ApplyAddStoredBuildFund
08195C10  TONG_ApplyAddStoredOffer
08196450  TONG_ApplyAddTaskValue
08194B90  TONG_ApplyAddTotalBuildFund
0818AD50  TONG_ApplyAddUTaskValue
08194410  TONG_ApplyAddWarBuildFund
08195910  TONG_ApplyAddWeek
08194D10  TONG_ApplyAddWeekBuildFund
08195550  TONG_ApplyAddWeekGoalValue
081905C0  TONG_ApplyCreatMap
0818FCC0  TONG_ApplyDegrade
08190720  TONG_ApplyDeleteMap
08190510  TONG_ApplyDeleteMember
0818FAC0  TONG_ApplyInit
08190310  TONG_ApplyKickMember
0818FE40  TONG_ApplyMaintain
0818C140  TONG_ApplySetAnnouncement
08192CD0  TONG_ApplySetBuildFund
08191AD0  TONG_ApplySetCurWeekGoalLevel
081926D0  TONG_ApplySetDay
08192010  TONG_ApplySetLWeekGoalEvent
08191F50  TONG_ApplySetLWeekGoalLevel
08191DD0  TONG_ApplySetLWeekGoalPlayer
08191B90  TONG_ApplySetLWeekGoalPricePlayer
08191C50  TONG_ApplySetLWeekGoalPriceTong
08191E90  TONG_ApplySetLWeekGoalTotal
08191D10  TONG_ApplySetLWeekGoalValue
08192850  TONG_ApplySetMaintainFund
0818FA10  TONG_ApplySetMoney
08192D90  TONG_ApplySetOccupyCityDay
081929D0  TONG_ApplySetPauseState
081917D0  TONG_ApplySetPerStandFund
08192790  TONG_ApplySetStoredBuildFund
08192910  TONG_ApplySetStoredOffer
081908F0  TONG_ApplySetStunt
0818AE40  TONG_ApplySetTaskValue
08190670  TONG_ApplySetTongMap
0818AF30  TONG_ApplySetTongMapBan
08191890  TONG_ApplySetTotalBuildFund
08192A90  TONG_ApplySetWarBuildFund
08192610  TONG_ApplySetWeek
08191A10  TONG_ApplySetWeekBuildFund
08191950  TONG_ApplySetWeekBuildUpper
08192550  TONG_ApplySetWeekGoalEvent
08192490  TONG_ApplySetWeekGoalLevel
08192310  TONG_ApplySetWeekGoalPlayer
081920D0  TONG_ApplySetWeekGoalPricePlayer
08192190  TONG_ApplySetWeekGoalPriceTong
081923D0  TONG_ApplySetWeekGoalTotal
08192250  TONG_ApplySetWeekGoalValue
0818FB40  TONG_ApplyUpgrade
0818FEC0  TONG_ApplyWeeklyMaintain
081907A0  TONG_ChangeAllMemberFeature
081968C0  TONG_ContributeOffer
08197F70  TONG_DistributeOfferToGroup
08197A70  TONG_DistributeOfferToMember
0818D560  TONG_GetBuildFund
0818D600  TONG_GetBuildLevel
0818C7B0  TONG_GetCredit
0818C670  TONG_GetCurCamp
0818F2C0  TONG_GetCurWeekGoalLevel
0818DEC0  TONG_GetDay
0818C8F0  TONG_GetExp
0818CA30  TONG_GetExpLevel
08197880  TONG_GetFirstMember
0818A680  TONG_GetFirstTong
0818EA00  TONG_GetLWeekGoalEvent
0818EB40  TONG_GetLWeekGoalLevel
0818EDC0  TONG_GetLWeekGoalPlayer
0818F180  TONG_GetLWeekGoalPricePlayer
0818F040  TONG_GetLWeekGoalPriceTong
0818EC80  TONG_GetLWeekGoalTotal
0818EF00  TONG_GetLWeekGoalValue
0818DC40  TONG_GetMaintainFund
08197EC0  TONG_GetMaster
0818FF40  TONG_GetMemberCount
0818F900  TONG_GetMoney
0818AC80  TONG_GetName
08197C10  TONG_GetNextMember
0818B4C0  TONG_GetNextTong
0818D380  TONG_GetOccupyCityDay
0818FFF0  TONG_GetOnlineCount
0818D9C0  TONG_GetPauseState
0818F860  TONG_GetPerStandFund
0818D740  TONG_GetPremium
0818C530  TONG_GetSelfCamp
0818CF10  TONG_GetStandFund
0818DD80  TONG_GetStoredBuildFund
0818DB00  TONG_GetStoredOffer
08190260  TONG_GetTaskTemp
081900A0  TONG_GetTaskValue
0819A700  TONG_GetTongByRoleName
0818A6C0  TONG_GetTongCount
0818D060  TONG_GetTongMap
0818D240  TONG_GetTongMapBan
0818D1A0  TONG_GetTongMapTemplate
0818F680  TONG_GetTotalBuildFund
08190180  TONG_GetUTaskValue
0818CBF0  TONG_GetUnionID
0818D920  TONG_GetWarBuildFund
0818CD30  TONG_GetWarState
0818E000  TONG_GetWeek
0818F400  TONG_GetWeekBuildFund
0818F540  TONG_GetWeekBuildUpper
0818E140  TONG_GetWeekGoalEvent
0818E280  TONG_GetWeekGoalLevel
0818E500  TONG_GetWeekGoalPlayer
0818E8C0  TONG_GetWeekGoalPricePlayer
0818E780  TONG_GetWeekGoalPriceTong
0818E3C0  TONG_GetWeekGoalTotal
0818E640  TONG_GetWeekGoalValue
08190890  TONG_IsExist
0818B600  TONG_Name2ID
0818B350  TONG_SetTaskTemp
0818B5A0  TONG_WriteLog
08123000  TRepair
0818BCE0  TWS_ApplyAdd
08196FA0  TWS_ApplyAddDayOutput
0818A810  TWS_ApplyAddTaskValue
0818A6F0  TWS_ApplyAddUTaskValue
0818BAA0  TWS_ApplyClose
08196540  TWS_ApplyDegrade
0818B9E0  TWS_ApplyMaintain
0818BB60  TWS_ApplyOpen
0818BC20  TWS_ApplyRemove
08197160  TWS_ApplySetDayOutput
0818AA20  TWS_ApplySetTaskValue
0818A930  TWS_ApplySetUseLevel
0818AB40  TWS_ApplySetUseLevelSet
08196700  TWS_ApplyUpgrade
0818B7F0  TWS_ApplyUse
08196DF0  TWS_GetBuildingNpc
08197240  TWS_GetDayOutput
08190AB0  TWS_GetFirstWorkshop
081976A0  TWS_GetLevel
0818C200  TWS_GetNextWorkshop
08196CA0  TWS_GetTaskValue
081977E0  TWS_GetType
08196BF0  TWS_GetUTaskValue
08197560  TWS_GetUseLevel
08197420  TWS_GetUseLevelSet
0818C3D0  TWS_GetWorkshopCount
08196B90  TWS_IsExist
08196D50  TWS_IsOpen
0818B150  TWS_SetBuildingNpc
0814A740  TabFile_GetCell
0814A5E0  TabFile_GetColCount
0814A690  TabFile_GetRowCount
0814AEF0  TabFile_Load
0814A3A0  TabFile_Save
0814A960  TabFile_Search
0814A420  TabFile_SetCell
0814B040  TabFile_UnLoad
081C2B30  TableSDD_Close
081C30C0  TableSDD_GetHeight
081C2FD0  TableSDD_GetValue
081C2C20  TableSDD_Open
081C2D10  TableSDD_Search
081C3140  TableSDD_SetValue
08116930  Talk
08175370  TaskAward
08175480  TaskAwardMatrix
081756D0  TaskCondition
081757E0  TaskConditionMatrix
08175520  TaskEntity
08175630  TaskEntityMatrix
08175880  TaskEvent
08175990  TaskEventMatrix
08175A30  TaskId
08175B40  TaskIdMatrix
08174CB0  TaskName
08174740  TaskNo
081751C0  TaskTalk
081752D0  TaskTalkMatrix
08122730  TaskTip
0810DE10  TellPos
08129390  TestScript
0810BC30  ThrowAllItem
081021B0  Time2Tm
0812F640  TimerFuncForAutoHang
081596F0  Title_ActiveTitle
081597A0  Title_AddTitle
081594A0  Title_GetActiveTitle
08159380  Title_GetTitleInfo
081594F0  Title_GetTitleName
08159620  Title_GetTitleTab
081595A0  Title_RemoveTitle
08103AC0  Tm2Time
08127590  TongClaimWar
080FF630  TrimString
0810B3F0  TripC_Apply
08101E50  TripC_GetServerCount
08101DA0  TripC_GetServerName
08101D50  TripC_Kick
0810B3B0  TripS_Return
08127730  UnBindItem
0810FFD0  UnMarry
0810A7E0  UnSmeltEquip
080FF160  UnSmeltIsBind
08101830  UpdateSDBRecord
08114A10  UpdateSkill
0811E480  UpgradePlatinaFromGoldItem
0811E350  UpgradePlatinaItem
0810F2D0  UseSilver
08117900  UseTownPortal
081231D0  WriteCompoundLog
081234A0  WriteGoldLog
081237D0  WriteLog
08123280  WriteSaleLog
081232F0  WriteStatLog
08123130  WriteYunBiaoLog
0823DF60  _ALERT
0823F910  _ERRORMESSAGE
08241000  abs
08241660  acos
08240080  appendto
08241830  ascii
082416A0  asin
0823DC00  assert
08241620  atan
082415C0  atan2
0823E940  call
08240FB0  ceil
0823F8E0  clock
08240E00  closefile
0823E8F0  collectgarbage
0823E870  copytagmethods
08241720  cos
0823D220  curpack
08240710  date
0823F840  debug
08240F20  deg
0823E810  dofile
0823E770  dostring
0823DBC0  error
0823F7F0  execute
0823F7C0  exit
08241360  exp
08240F60  floor
08240BB0  flush
0823E510  foreach
0823D5C0  foreachi
0823E510  foreachvar
08242D40  format
082414F0  frexp
0823E6A0  gcinfo
0823F770  getenv
0823E370  getglobal
0823F160  getinfo
0823F410  getlocal
0823D2C0  getn
0823E100  gettagmethod
0823E630  globals
08242590  gsub
08241480  ldexp
082413E0  log
082413A0  log10
08241080  max
082410F0  min
08241540  mod
0823E600  newtag
0823E4B0  next
0823E4B0  nextvar
0823FFC0  openfile
0823E3B0  print
08240EE0  rad
08241160  random
08241040  randomseed
0823E320  rawget
0823E320  rawgetglobal
0823E320  rawgettable
0823DB60  rawset
0823DB60  rawsetglobal
0823DB60  rawsettable
082408D0  read
08240320  readfrom
0823F730  remove
0823F6D0  rename
08240C90  seek
0823EEF0  setbreakpointhook
0823EF50  setcallhook
0823DF10  setglobal
0823EF20  setlinehook
0823ED10  setlocal
0823F5A0  setlocale
0823E2B0  settag
0823E1A0  settagmethod
08241760  sin
0823DAD0  sort
08241420  sqrt
08241830  strbyte
08241B30  strchar
08242A10  strfind
082418F0  strlen
08241D00  strlower
08241A60  strrep
08241DC0  strsub
08241C40  strupper
0823DD10  tag
082416E0  tan
0823D490  tinsert
0823F570  tmpname
0823DFB0  tonumber
0823DD60  tostring
0823D360  tremove
0823DC80  type
080FF9E0  unpack
0823D240  usepack
08240340  write
08240300  writeto
